Model,Refrigerant,Frequency / Rotation,HP,Power Supply,Application,Standard Condition,Tested Conditions,Capacity,Efficiency,Displacement,Motor Type,Starting Torque
EG130HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,ASHRAE,LBP,301,1.36,10.61 cm³,RSIR/CSIR,LST
EG130HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,ARI 540,LBP,262,1.23,10.61 cm³,RSIR/CSIR,LST
EG130HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,EN12900,LBP,146,0.89,10.61 cm³,RSIR/CSIR,LST
EGAS100CLP,R-600a,60 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,298,1.55,13.54 cm³,RSIR,LST
EGAS100CLP,R-600a,60 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,247,1.33,13.54 cm³,RSIR,LST
EGAS100CLP,R-600a,50 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,237,1.40,13.54 cm³,RSIR,LST
EGAS100CLP,R-600a,50 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,200,1.20,13.54 cm³,RSIR,LST
EGAS100CLP,R-600a,60 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,153,1.16,13.54 cm³,RSIR,LST
EGAS100CLP,R-600a,50 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,123,0.98,13.54 cm³,RSIR,LST
EGAS100HLP,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,ASHRAE,LBP,242,1.52,7.95 cm³,RSIR,LST
EGAS100HLP,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,ARI 540,LBP,205,1.32,7.95 cm³,RSIR,LST
EGAS100HLP,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,EN12900,LBP,127,1.14,7.95 cm³,RSIR,LST
EGAS100HLR,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,307,1.60,7.95 cm³,RSIR/CSIR,LST
EGAS100HLR,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,307,1.60,7.95 cm³,RSIR,LST
EGAS100HLR,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,264,1.42,7.95 cm³,RSIR/CSIR,LST
EGAS100HLR,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,264,1.42,7.95 cm³,RSIR,LST
EGAS100HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,250,1.52,7.95 cm³,RSIR/CSIR,LST
EGAS100HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,250,1.52,7.95 cm³,RSIR,LST
EGAS100HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,215,1.35,7.95 cm³,RSIR/CSIR,LST
EGAS100HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,215,1.35,7.95 cm³,RSIR,LST
